Timestamp,What age are you?,How did you perform during distance learning?,What device did you use for online school?,What was your favorite part of distance learning?,What was your least favorite part of distance learning?,How has COVID-19 effected your learning in 2024?
9/15/2024 16:22:45,20,6,Laptop,School being more efficient and giving more freedom,The lack of engagement made it harder to retain anything learned,4
9/15/2024 20:56:02,25,8,Laptop,"Because I wasn't in class where the instructor could see me I was able to do other things to keep physically busy while listening to lectures, which I find often helps me listen, and it gave me so much more time to do things I love doing for fun during typical school/work hours.",I missed going to the library and the in-person discussion. Discussion boards just aren't the same,2
9/16/2024 14:27:43,20,3,Laptop,More free time,"Lack of connection to class, hard to focus, lack of structure",5
9/19/2024 9:18:20,0123456689,5,0123456689,0123456689,0123456689,3
9/19/2024 9:18:41,29 yrs old,5,Laptop,,everything,3
9/19/2024 11:20:09,19,1,Laptop,Nothing it was horrible,Being away from an environment where it was completely dedicated to study,2
9/19/2024 11:21:01,20,9,Laptop,The online homework and tests,Not seeing my friends as much,3
9/19/2024 11:26:31,24,5,Laptop,n/a,n/a,3
9/19/2024 11:32:25,21,10,Laptop,Getting more sleep.,Not seeing my friends as often.,4
9/19/2024 11:35:15,21,5,Laptop,Being more on my own schedule - I could go as quickly or slowly as I desired most of the time.,My least favorite part was readjusting to learning in person again - I had to shake off the bad and often lazy habits that I had developed as a part of distance learning.,4
